"country_name","country_code","anio","tasa.de.inflacion","tasa_wins_low","tasa_shifted","inflacion_log"
"Aruba","ABW",2000,1.03610080269524,1.03610080269524,14.3836477540938,2.66609198869844
"Aruba","ABW",2010,-1.22340655068425,-1.22340655068425,12.1241404007143,2.49519853952394
"Aruba","ABW",2023,6.70946117676064,6.70946117676064,20.0570081281592,2.99857862525682
NA,"AFE",2000,11.1173058824862,11.1173058824862,24.4648528338847,3.19723750934939
NA,"AFE",2010,5.88302203486953,5.88302203486953,19.2305689862681,2.95650114763244
NA,"AFE",2023,6.92132238472385,6.92132238472385,20.2688693361224,3.00908617874644
"Afganistán","AFG",2000,NA,NA,NA,NA
"Afganistán","AFG",2010,3.81463031545211,3.81463031545211,17.1621772668506,2.84270796636379
"Afganistán","AFG",2023,2.92366213121669,2.92366213121669,16.2712090826152,2.78939723209092
NA,"AFW",2000,4.81543026173506,4.81543026173506,18.1629772131336,2.89938530319038
NA,"AFW",2010,5.36905277481954,5.36905277481954,18.7165997262181,2.92941081599444
NA,"AFW",2023,3.43696324528173,3.43696324528173,16.7845101966803,2.82045644899224
"Angola","AGO",2000,418.018991534099,418.018991534099,431.366538485498,6.06695816600816
"Angola","AGO",2010,32.2704691224412,32.2704691224412,45.6180160738397,3.82030272783169
"Angola","AGO",2023,17.6001393484509,17.6001393484509,30.9476862998494,3.43229824027321
"Albania","ALB",2000,5.91957346525058,5.91957346525058,19.2671204166491,2.95840003777005
"Albania","ALB",2010,4.12744389120799,4.12744389120799,17.4749908426065,2.8607707640915
"Albania","ALB",2023,6.0660520944985,6.0660520944985,19.413599045897,2.9659738022436
"Andorra","AND",2000,28.7415528975991,28.7415528975991,42.0890998489976,3.73978879621493
"Andorra","AND",2010,0.374313758110119,0.374313758110119,13.7218607095087,2.61899023332873
"Andorra","AND",2023,6.29560082401824,6.29560082401824,19.6431477754168,2.97772856378125
"El mundo árabe","ARB",2000,11.4595357939894,11.4595357939894,24.8070827453879,3.21112920696866
"El mundo árabe","ARB",2010,12.0069509099953,12.0069509099953,25.3544978613938,3.23295614472801
"El mundo árabe","ARB",2023,1.34137848153398,1.34137848153398,14.6889254329325,2.68709383794811
"Emiratos Árabes Unidos","ARE",2000,11.4595357939894,11.4595357939894,24.8070827453879,3.21112920696866
"Emiratos Árabes Unidos","ARE",2010,16.5278863640702,16.5278863640702,29.8754333154687,3.39703651442996
"Emiratos Árabes Unidos","ARE",2023,-1.30420015855995,-1.30420015855995,12.0433467928386,2.48851237408051
"Argentina","ARG",2000,1.03728710073175,1.03728710073175,14.3848340521303,2.6661744607625
"Argentina","ARG",2010,20.915124272047,20.915124272047,34.2626712234455,3.53405645901724
"Argentina","ARG",2023,135.368876310592,135.368876310592,148.716423261991,5.00204129297599
"Armenia","ARM",2000,-1.37367599828147,-1.37367599828147,11.9738709531171,2.48272685518745
"Armenia","ARM",2010,7.76871548067652,7.76871548067652,21.1162624320751,3.05004347499908
"Armenia","ARM",2023,2.67300354889213,2.67300354889213,16.0205505002907,2.77387230436383
"Samoa Americana","ASM",2000,NA,NA,NA,NA
"Samoa Americana","ASM",2010,-15.3648895532304,-12.3475469513985,1,0
"Samoa Americana","ASM",2023,NA,NA,NA,NA
"Antigua y Barbuda","ATG",2000,1.53551541337367,1.53551541337367,14.8830623647722,2.70022381231434
"Antigua y Barbuda","ATG",2010,1.60741690564493,1.60741690564493,14.9549638570435,2.70504327529821
"Antigua y Barbuda","ATG",2023,4.91194084907252,4.91194084907252,18.2594878004711,2.90468482441585
"Australia","AUS",2000,2.5507652827131,2.5507652827131,15.8983122341116,2.76621295479399
"Australia","AUS",2010,1.15377249328591,1.15377249328591,14.5013194446844,2.67423964147176
"Australia","AUS",2023,6.51199894950456,6.51199894950456,19.8595459009031,2.9886847933457
"Austria","AUT",2000,1.36731376651514,1.36731376651514,14.7148607179137,2.68885791632726
"Austria","AUT",2010,0.891338694909649,0.891338694909649,14.2388856463082,2.65597664774675
"Austria","AUT",2023,6.64765359130317,6.64765359130317,19.9952005427017,2.99549227189098
"Azerbaiyán","AZE",2000,12.4927738128452,12.4927738128452,25.8403207642437,3.25193609231428
"Azerbaiyán","AZE",2010,13.8276655951811,13.8276655951811,27.1752125465796,3.30230525437796
"Azerbaiyán","AZE",2023,-9.32261489254115,-9.32261489254115,4.02493205885739,1.39250803094108
"Burundi","BDI",2000,38.9448932030909,38.9448932030909,52.2924401544894,3.95685181290754
"Burundi","BDI",2010,8.56155516425477,8.56155516425477,21.9091021156533,3.086902172195
"Burundi","BDI",2023,10.8749340609701,10.8749340609701,24.2224810123686,3.18728116939267
"Bélgica","BEL",2000,2.01459208675317,2.01459208675317,15.3621390381517,2.73190597832005
"Bélgica","BEL",2010,1.70310444520605,1.70310444520605,15.0506513966046,2.71142127242466
"Bélgica","BEL",2023,4.5081215034371,4.5081215034371,17.8556684548356,2.88232101830898
"Benin","BEN",2000,4.3410556635676,4.3410556635676,17.6886026149661,2.87292051211581
"Benin","BEN",2010,0.880885670477909,0.880885670477909,14.2284326218764,2.65524225999704
"Benin","BEN",2023,3.38561739537163,3.38561739537163,16.7331643467702,2.81739263917999
"Burkina Faso","BFA",2000,-0.819773185220825,-0.819773185220825,12.5277737661777,2.5279480808301
"Burkina Faso","BFA",2010,3.77961872815705,3.77961872815705,17.1271656795556,2.84066583919226
"Burkina Faso","BFA",2023,1.99804752407688,1.99804752407688,15.3455944754754,2.73082842798441
"Bangladesh","BGD",2000,3.44665934914798,3.44665934914798,16.7942063005465,2.82103396386756
"Bangladesh","BGD",2010,7.14466302810841,7.14466302810841,20.4922099795069,3.02004481292603
"Bangladesh","BGD",2023,6.89712404003441,6.89712404003441,20.244670991433,3.00789159800275
"Bulgaria","BGR",2000,7.38083885101,7.38083885101,20.7283858024085,3.03150405570762
"Bulgaria","BGR",2010,0.764129878916592,0.764129878916592,14.1116768303151,2.64700259865607
"Bulgaria","BGR",2023,7.98419924336682,7.98419924336682,21.3317461947654,3.06019639480359
"Bahrein","BHR",2000,14.3225240993621,14.3225240993621,27.6700710507606,3.32035136158595
"Bahrein","BHR",2010,12.0069509099953,12.0069509099953,25.3544978613938,3.23295614472801
"Bahrein","BHR",2023,-4.28437217979031,-4.28437217979031,9.06317477160823,2.20421947496574
"Bahamas","BHS",2000,0.92270742527738,0.92270742527738,14.2702543766759,2.65817725730575
"Bahamas","BHS",2010,-0.392565565624793,-0.392565565624793,12.9549813857737,2.56148037717582
"Bahamas","BHS",2023,6.63956583586531,6.63956583586531,19.9871127872639,2.99508770522765
"Bosnia y Herzegovina","BIH",2000,30.3325930267657,30.3325930267657,43.6801399781642,3.77689353605982
"Bosnia y Herzegovina","BIH",2010,1.40629396620604,1.40629396620604,14.7538409176046,2.69150345008085
"Bosnia y Herzegovina","BIH",2023,7.29122677163825,7.29122677163825,20.6387737230368,3.02717152620479
"Belarús","BLR",2000,185.290761160986,185.290761160986,198.638308112385,5.29148562380754
"Belarús","BLR",2010,11.3403098820794,11.3403098820794,24.6878568334779,3.20631149657118
"Belarús","BLR",2023,8.04676215128896,8.04676215128896,21.3943091026875,3.06312495688125
"Belice","BLZ",2000,1.44428759552335,1.44428759552335,14.7918345469219,2.69407530871412
"Belice","BLZ",2010,2.2485368571529,2.2485368571529,15.5960838085514,2.74701984482683
"Belice","BLZ",2023,6.50970161380764,6.50970161380764,19.8572485652062,2.98856910748886
"Bermudas","BMU",2000,-4.23635614734731,-4.23635614734731,9.11119080405123,2.20950341667589
"Bermudas","BMU",2010,2.23622200255707,2.23622200255707,15.5837689539556,2.7462299209404
"Bermudas","BMU",2023,3.84503523133317,3.84503523133317,17.1925821827317,2.84447802235059
"Bolivia","BOL",2000,5.19540520801752,5.19540520801752,18.5429521594161,2.92008977936112
"Bolivia","BOL",2010,8.77750811554523,8.77750811554523,22.1250550669438,3.09671067979231
"Bolivia","BOL",2023,-0.505250417036535,-0.505250417036535,12.842296534362,2.55274414008502
"Brasil","BRA",2000,5.60606514085735,5.60606514085735,18.9536120922559,2.94199452509287
"Brasil","BRA",2010,8.42333833760436,8.42333833760436,21.7708852890029,3.08057353996869
"Brasil","BRA",2023,5.15950107377019,5.15950107377019,18.5070480251687,2.91815163386543
"Barbados","BRB",2000,-1.32283915557818,-1.32283915557818,12.0247077958204,2.4869635159727
"Barbados","BRB",2010,18.8527289921361,18.8527289921361,32.2002759435346,3.47197502218863
"Barbados","BRB",2023,3.18212980720116,3.18212980720116,16.5296767585997,2.80515735680808
"Brunei Darussalam","BRN",2000,2.37672035245946,2.37672035245946,15.724267303858,2.7552052071517
"Brunei Darussalam","BRN",2010,4.98008956509719,4.98008956509719,18.3276365164957,2.90841011281222
"Brunei Darussalam","BRN",2023,-12.8472514374463,-12.3475469513985,1,0
"Bhután","BTN",2000,16.5271465816956,16.5271465816956,29.8746935330941,3.39701175189259
"Bhután","BTN",2010,8.32696241504689,8.32696241504689,21.6745093664454,3.07613688649094
"Bhután","BTN",2023,4.37406197211145,4.37406197211145,17.72160892351,2.87478473809294
"Botswana","BWA",2000,14.1709669143697,14.1709669143697,27.5185138657682,3.31485900963635
"Botswana","BWA",2010,7.68549223641305,7.68549223641305,21.0330391878116,3.04609449604965
"Botswana","BWA",2023,1.73900386471155,1.73900386471155,15.0865508161101,2.71380367250493
"República Centroafricana","CAF",2000,8.5066010783456,8.5066010783456,21.8541480297441,3.08439074470226
"República Centroafricana","CAF",2010,4.21130931097511,4.21130931097511,17.5588562623736,2.86555845296349
"República Centroafricana","CAF",2023,3.57480170924984,3.57480170924984,16.9223486606484,2.82863515427589
"Canadá","CAN",2000,4.37419903632332,4.37419903632332,17.7217459877219,2.87479247236145
"Canadá","CAN",2010,2.84863779561802,2.84863779561802,16.1961847470166,2.78477570505821
"Canadá","CAN",2023,1.3572659269347,1.3572659269347,14.7048128783332,2.68817484688815
"Europa Central y del Báltico","CEB",2000,5.53606175369798,5.53606175369798,18.8836087050965,2.93829428149374
"Europa Central y del Báltico","CEB",2010,0.920113149429753,0.920113149429753,14.2676601008283,2.65799544473099
"Europa Central y del Báltico","CEB",2023,9.86569270234997,9.86569270234997,23.2132396537485,3.1447227906299
"Suiza","CHE",2000,1.36728532051116,1.36728532051116,14.7148322719097,2.68885598317737
"Suiza","CHE",2010,0.312736587500311,0.312736587500311,13.6602835388989,2.61449261080122
"Suiza","CHE",2023,0.896277329147281,0.896277329147281,14.2438242805458,2.6563234289554
"Islas del Canal","CHI",2000,NA,NA,NA,NA
"Islas del Canal","CHI",2010,2.31458551003772,2.31458551003772,15.6621324614363,2.75124585379753
"Islas del Canal","CHI",2023,5.75258289973107,5.75258289973107,19.1001298511296,2.94969513351794
"Chile","CHL",2000,4.56004348660028,4.56004348660028,17.9075904379988,2.88522466977984
"Chile","CHL",2010,8.85744148942345,8.85744148942345,22.204988440822,3.10031696817748
"Chile","CHL",2023,6.58777169908957,6.58777169908957,19.9353186504881,2.99249296517951
"China","CHN",2000,2.09978437202267,2.09978437202267,15.4473313234212,2.73743625854858
"China","CHN",2010,6.92845731295996,6.92845731295996,20.2760042643585,3.00943813092565
"China","CHN",2023,-0.50570453916356,-0.50570453916356,12.841842412235,2.55270877801756
"Côte d'Ivoire","CIV",2000,1.60101728726917,1.60101728726917,14.9485642386677,2.70461525767748
"Côte d'Ivoire","CIV",2010,1.5162179241976,1.5162179241976,14.8637648755961,2.69892636356613
"Côte d'Ivoire","CIV",2023,2.55136540148222,2.55136540148222,15.8989123528808,2.76625070140723
"Camerún","CMR",2000,1.53156295867964,1.53156295867964,14.8791099100782,2.6999582097447
"Camerún","CMR",2010,0.688187082777645,0.688187082777645,14.0357340341762,2.64160650870816
"Camerún","CMR",2023,4.65972285962381,4.65972285962381,18.0072698110224,2.89077555474937
"Congo, República Democrática del","COD",2000,2630.1226744224,2630.1226744224,2643.4702213738,7.87984781076386
"Congo, República Democrática del","COD",2010,20.7863251488693,20.7863251488693,34.1338721002678,3.53029020800026
"Congo, República Democrática del","COD",2023,14.183736519641,14.183736519641,27.5312834710395,3.31532293888289
"Congo, República del","COG",2000,47.0400830761822,47.0400830761822,60.3876300275807,4.10078428309834
"Congo, República del","COG",2010,29.4176837966296,29.4176837966296,42.7652307480281,3.75572540673965
"Congo, República del","COG",2023,-7.56770228699291,-7.56770228699291,5.77984466440563,1.75437680765285
"Colombia","COL",2000,33.6753705095567,33.6753705095567,47.0229174609552,3.85063508842134
"Colombia","COL",2010,3.80486029146383,3.80486029146383,17.1524072428624,2.84213852777714
"Colombia","COL",2023,6.9523623210511,6.9523623210511,20.2999092724496,3.0106164167003
"Comoras","COM",2000,-4.46002451335903,-4.46002451335903,8.88752243803951,2.1846483198001
"Comoras","COM",2010,0.682462151697223,0.682462151697223,14.0300091030958,2.64119854294493
"Comoras","COM",2023,5.6441347664765,5.6441347664765,18.991681717875,2.94400107897978
"Cabo Verde","CPV",2000,-7.90110347163402,-7.90110347163402,5.44644347976452,1.69496282313676
"Cabo Verde","CPV",2010,0.654415406092099,0.654415406092099,14.0019623574906,2.63919748818478
"Cabo Verde","CPV",2023,4.09632947552478,4.09632947552478,17.4438764269233,2.858988665968
"Costa Rica","CRI",2000,9.38971354763002,9.38971354763002,22.7372604990286,3.12400501048601
"Costa Rica","CRI",2010,6.62884486179367,6.62884486179367,19.9763918131922,2.99455116698176
"Costa Rica","CRI",2023,-0.0879225971163464,-0.0879225971163464,13.2596243542822,2.58472365511678
"Estados pequeos del Caribe","CSS",2000,1.48990150444851,1.48990150444851,14.837448455847,2.69715428601885
"Estados pequeos del Caribe","CSS",2010,3.11039463821389,3.11039463821389,16.4579415896124,2.80080813211977
"Estados pequeos del Caribe","CSS",2023,3.04806745664039,3.04806745664039,16.3956144080389,2.79701388492465
"Cuba","CUB",2000,1.74116359273691,1.74116359273691,15.0887105441355,2.71394681811042
"Cuba","CUB",2010,1.20204852948169,1.20204852948169,14.5495954808802,2.67756319122966
"Cuba","CUB",2023,40.0007086568723,40.0007086568723,53.3482556082708,3.97684128008613
"Curacao","CUW",2000,NA,NA,NA,NA
"Curacao","CUW",2010,2.77999992864359,2.77999992864359,16.1275468800421,2.7805287962588
"Curacao","CUW",2023,2.40355185282858,2.40355185282858,15.7510988042271,2.75691012818591
"Islas Caimán","CYM",2000,NA,NA,NA,NA
"Islas Caimán","CYM",2010,-0.20640583789077,-0.20640583789077,13.1411411135078,2.57574785201856
"Islas Caimán","CYM",2023,3.64092096854627,3.64092096854627,16.9884679199448,2.83253475621725
"Chipre","CYP",2000,2.74345132203368,2.74345132203368,16.0909982734322,2.77826000217679
"Chipre","CYP",2010,1.88138203943318,1.88138203943318,15.2289289908317,2.72319684209893
"Chipre","CYP",2023,3.81221826103813,3.81221826103813,17.1597652124367,2.84256741170728
"República Checa","CZE",2000,1.75947549849747,1.75947549849747,15.107022449896,2.71515969861966
"República Checa","CZE",2010,-0.485125297413731,-0.485125297413731,12.8624216539848,2.55431001010059
"República Checa","CZE",2023,8.12594136636018,8.12594136636018,21.4734883177587,3.0668190727388
"Alemania","DEU",2000,-0.343812764756009,-0.343812764756009,13.0037341866425,2.5652365613409
"Alemania","DEU",2010,0.682498550164752,0.682498550164752,14.0300455015633,2.64120113727114
"Alemania","DEU",2023,6.14291652076442,6.14291652076442,19.490463472163,2.96992529323483
"Djibouti","DJI",2000,NA,NA,NA,NA
"Djibouti","DJI",2010,NA,NA,NA,NA
"Djibouti","DJI",2023,2.39662979617457,2.39662979617457,15.7441767475731,2.75647056659172
"Dominica","DMA",2000,-1.78273060588334,-1.78273060588334,11.5648163455152,2.44796741535975
"Dominica","DMA",2010,0.929049061895853,0.929049061895853,14.2765960132944,2.65862155407658
"Dominica","DMA",2023,2.08922149000234,2.08922149000234,15.4367684414009,2.73675222485405
"Dinamarca","DNK",2000,3.01337858164912,3.01337858164912,16.3609255330477,2.79489590249909
"Dinamarca","DNK",2010,3.18685979296221,3.18685979296221,16.5344067443608,2.80544346700937
"Dinamarca","DNK",2023,-3.78891799880031,-3.78891799880031,9.55862895259823,2.25744430177821
"República Dominicana","DOM",2000,7.21804471469494,7.21804471469494,20.5655916660935,3.02361937180553
"República Dominicana","DOM",2010,5.3493113436178,5.3493113436178,18.6968582950163,2.92835550413192
"República Dominicana","DOM",2023,5.7871768273554,5.7871768273554,19.1347237787539,2.95150468338042
"Argelia","DZA",2000,22.6780091895684,22.6780091895684,36.0255561409669,3.58422857940604
"Argelia","DZA",2010,15.5569181218379,15.5569181218379,28.9044650732364,3.3639960839884
"Argelia","DZA",2023,0.854841037314543,0.854841037314543,14.2023879887131,2.65341011868776
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2000,2.63973022261635,2.63973022261635,15.9872771740149,2.77179322929508
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2010,6.26499886932319,6.26499886932319,19.6125458207217,2.97616945435836
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2023,4.60143307078241,4.60143307078241,17.948980022181,2.88753329004296
"inicial del dividendo demográfico","EAR",2000,7.21804471469494,7.21804471469494,20.5655916660935,3.02361937180553
"inicial del dividendo demográfico","EAR",2010,7.00928360259741,7.00928360259741,20.3568305539959,3.0134165093285
"inicial del dividendo demográfico","EAR",2023,4.80427142694981,4.80427142694981,18.1518183783483,2.89877074182746
"Asia oriental y el Pacífico","EAS",2000,2.59524775266473,2.59524775266473,15.9427947040633,2.76900698447243
"Asia oriental y el Pacífico","EAS",2010,2.94861183213928,2.94861183213928,16.2961587835378,2.79092942258947
"Asia oriental y el Pacífico","EAS",2023,4.09957591317935,4.09957591317935,17.4471228645779,2.85917475623368
"Europa y Asia central (excluido altos ingresos)","ECA",2000,27.1617380473374,27.1617380473374,40.5092849987359,3.70153120706466
"Europa y Asia central (excluido altos ingresos)","ECA",2010,8.90130951132168,8.90130951132168,22.2488564627202,3.10229061235756
"Europa y Asia central (excluido altos ingresos)","ECA",2023,7.90666411689693,7.90666411689693,21.2542110682955,3.05655504365754
"Europa y Asia central","ECS",2000,4.47967905605343,4.47967905605343,17.827226007452,2.88072683970683
"Europa y Asia central","ECS",2010,1.95449347938568,1.95449347938568,15.3020404307842,2.7279861809957
"Europa y Asia central","ECS",2023,6.29282793928431,6.29282793928431,19.6403748906828,2.97758739086445
"Ecuador","ECU",2000,-11.6834509266758,-11.6834509266758,1.66409602472274,0.509282047899131
"Ecuador","ECU",2010,9.01371738601253,9.01371738601253,22.3612643374111,3.10733019129525
"Ecuador","ECU",2023,2.28375927738441,2.28375927738441,15.631306228783,2.74927571284055
"Egipto, República Árabe de","EGY",2000,3.9444069943829,3.9444069943829,17.2919539457814,2.85024130347668
"Egipto, República Árabe de","EGY",2010,10.1068646295721,10.1068646295721,23.4544115809706,3.15505860431888
"Egipto, República Árabe de","EGY",2023,24.7990758719001,24.7990758719001,38.1466228232986,3.64143723017633
"Zona del Euro","EMU",2000,3.00679251713987,3.00679251713987,16.3543394685384,2.7944932730478
"Zona del Euro","EMU",2010,0.836737273982592,0.836737273982592,14.1842842253811,2.65213460702159
"Zona del Euro","EMU",2023,6.1890982952545,6.1890982952545,19.536645246653,2.972291945419
"Eritrea","ERI",2000,24.9775947531466,24.9775947531466,38.3251417045451,3.64610612219514
"Eritrea","ERI",2010,-16.2281996990874,-12.3475469513985,1,0
"Eritrea","ERI",2023,NA,NA,NA,NA
"España","ESP",2000,3.41275208349518,3.41275208349518,16.7602990348937,2.8190129370722
"España","ESP",2010,0.292837731273394,0.292837731273394,13.6403846826719,2.61303485455956
"España","ESP",2023,6.23528006974459,6.23528006974459,19.5828270211431,2.97465300978243
"Estonia","EST",2000,3.68470254992069,3.68470254992069,17.0322495013192,2.83510857645753
"Estonia","EST",2010,1.81653769106526,1.81653769106526,15.1640846424638,2.71892977944172
"Estonia","EST",2023,8.05478638343502,8.05478638343502,21.4023333348336,3.06349995042201
"Etiopía","ETH",2000,6.79999995365588,6.79999995365588,20.1475469050544,3.00308253929693
"Etiopía","ETH",2010,1.44457231740682,1.44457231740682,14.7921192688054,2.69409455711379
"Etiopía","ETH",2023,32.9130722654676,32.9130722654676,46.2606192168661,3.83429104229231
"Unión Europea","EUU",2000,3.27013371224606,3.27013371224606,16.6176806636446,2.81046722876525
"Unión Europea","EUU",2010,0.920113149429753,0.920113149429753,14.2676601008283,2.65799544473099
"Unión Europea","EUU",2023,6.29005505455038,6.29005505455038,19.6376020059489,2.97744619801504
"Frágiles y situaciones de conflicto afectados","FCS",2000,9.77706144512396,9.77706144512396,23.1246083965225,3.14089734905067
"Frágiles y situaciones de conflicto afectados","FCS",2010,6.21117756070004,6.21117756070004,19.5587245120986,2.97342145348756
"Frágiles y situaciones de conflicto afectados","FCS",2023,6.07879338818262,6.07879338818262,19.4263403395812,2.96662989462391
"Finlandia","FIN",2000,1.63739243267639,1.63739243267639,14.9849393840749,2.70704565565367
"Finlandia","FIN",2010,0.348872946424805,0.348872946424805,13.6964198978233,2.61713447735695
"Finlandia","FIN",2023,3.47743748643397,3.47743748643397,16.8249844378325,2.82286495058727
"Fiji","FJI",2000,-4.71987387917059,-4.71987387917059,8.62767307222795,2.15497483631943
"Fiji","FJI",2010,4.22978499907929,4.22978499907929,17.5773319504778,2.86661011455495
"Fiji","FJI",2023,4.09957591317935,4.09957591317935,17.4471228645779,2.85917475623368
"Francia","FRA",2000,1.41757333768415,1.41757333768415,14.7651202890827,2.69226766206976
"Francia","FRA",2010,1.089446423803,1.089446423803,14.4369933752015,2.66979389677118
"Francia","FRA",2023,5.30357173576937,5.30357173576937,18.6511186871679,2.92590612751706
"Islas Feroe","FRO",2000,NA,NA,NA,NA
"Islas Feroe","FRO",2010,6.94863066561592,6.94863066561592,20.2961776170145,3.01043257358971
"Islas Feroe","FRO",2023,4.0731868743961,4.0731868743961,17.4207338257946,2.85766109601326
"Micronesia (Estados Federados de)","FSM",2000,1.07890621048246,1.07890621048246,14.426453161881,2.66906354644552
"Micronesia (Estados Federados de)","FSM",2010,3.60298457333592,3.60298457333592,16.9505315247345,2.83029919172621
"Micronesia (Estados Federados de)","FSM",2023,6.2097350189978,6.2097350189978,19.5572819703963,2.97334769638234
"Gabón","GAB",2000,28.0893435970034,28.0893435970034,41.4368905484019,3.72417156010705
"Gabón","GAB",2010,16.5643202141089,16.5643202141089,29.9118671655074,3.39825529682206
"Gabón","GAB",2023,-6.86511608258311,-6.86511608258311,6.48243086881543,1.86909557409544
"Reino Unido","GBR",2000,1.12168276323006,1.12168276323006,14.4692297146286,2.6720243059596
"Reino Unido","GBR",2010,1.5890807297128,1.5890807297128,14.9366276811113,2.70381643006927
"Reino Unido","GBR",2023,6.88853758661627,6.88853758661627,20.2360845380148,3.00746737402596
"Georgia","GEO",2000,4.67821081510431,4.67821081510431,18.0257577665028,2.89180172203787
"Georgia","GEO",2010,15.9058283591544,15.9058283591544,29.2533753105529,3.37599496225293
"Georgia","GEO",2023,2.94809953907664,2.94809953907664,16.2956464904752,2.79089798566486
"Ghana","GHA",2000,27.230113843564,27.230113843564,40.5776607949625,3.70321768845235
"Ghana","GHA",2010,16.5956447322347,16.5956447322347,29.9431916836332,3.39930197596958
"Ghana","GHA",2023,40.1057981965589,40.1057981965589,53.4533451479574,3.97880922013306
"Gibraltar","GIB",2000,NA,NA,NA,NA
"Gibraltar","GIB",2010,NA,NA,NA,NA
"Gibraltar","GIB",2023,NA,NA,NA,NA
"Guinea","GIN",2000,6.30012395836252,6.30012395836252,19.6476709097611,2.97795880252484
"Guinea","GIN",2010,16.1026033748334,16.1026033748334,29.4501503262319,3.38269901454066
"Guinea","GIN",2023,6.09250536857687,6.09250536857687,19.4400523199754,2.96733549038543
"Gambia","GMB",2000,2.2169826127346,2.2169826127346,15.5645295641331,2.74499457948135
"Gambia","GMB",2010,5.64433086097335,5.64433086097335,18.9918778123719,2.94401140420992
"Gambia","GMB",2023,15.6019043954952,15.6019043954952,28.9494513468937,3.36555125209136
"Guinea-Bissau","GNB",2000,-22.9323193799366,-12.3475469513985,1,0
"Guinea-Bissau","GNB",2010,5.21501552229329,5.21501552229329,18.5625624736918,2.92114678214335
"Guinea-Bissau","GNB",2023,5.17485131385651,5.17485131385651,18.522398265255,2.91898071679825
"Guinea Ecuatorial","GNQ",2000,64.7350222970558,64.7350222970558,78.0825692484543,4.35776684689716
"Guinea Ecuatorial","GNQ",2010,24.9065341802403,24.9065341802403,38.2540811316388,3.6442502508329
"Guinea Ecuatorial","GNQ",2023,-7.64752019845845,-7.64752019845845,5.70002675294009,1.74047086832775
"Grecia","GRC",2000,1.61880051326631,1.61880051326631,14.9663474646648,2.7058041783247
