"country_name","country_code","anio","tasa_de_cambio_oficial","log_tasa"
"Aruba","ABW",2000,1.79,0.582215619852664
"Aruba","ABW",2010,1.79,0.582215619852664
"Aruba","ABW",2023,1.79,0.582215619852664
NA,"AFE",2000,NA,NA
NA,"AFE",2010,NA,NA
NA,"AFE",2023,NA,NA
"Afganistán","AFG",2000,47.3575747311828,3.85772678004118
"Afganistán","AFG",2010,46.4524610013175,3.83842944558548
"Afganistán","AFG",2023,NA,NA
NA,"AFW",2000,NA,NA
NA,"AFW",2010,NA,NA
NA,"AFW",2023,NA,NA
"Angola","AGO",2000,10.0405441666667,2.30663131266202
"Angola","AGO",2010,91.9057203405018,4.52076327269654
"Angola","AGO",2023,685.020237761449,6.5294483820031
"Albania","ALB",2000,143.709416666667,4.96779332097742
"Albania","ALB",2010,103.936666666667,4.6437817392822
"Albania","ALB",2023,100.645,4.611599473753
"Andorra","AND",2000,NA,NA
"Andorra","AND",2010,NA,NA
"Andorra","AND",2023,0.924709622987356,-0.0782755118480033
"El mundo árabe","ARB",2000,NA,NA
"El mundo árabe","ARB",2010,NA,NA
"El mundo árabe","ARB",2023,NA,NA
"Emiratos Árabes Unidos","ARE",2000,3.6725,1.3008726290659
"Emiratos Árabes Unidos","ARE",2010,3.6725,1.3008726290659
"Emiratos Árabes Unidos","ARE",2023,3.6725,1.3008726290659
"Argentina","ARG",2000,0.9995,-0.000500125041682243
"Argentina","ARG",2010,3.8962951544705,1.36002614124509
"Argentina","ARG",2023,296.258041666667,5.69123083694731
"Armenia","ARM",2000,539.525833333333,6.29069066739486
"Armenia","ARM",2010,373.660466738817,5.92334754213121
"Armenia","ARM",2023,392.476302158971,5.97247615873468
"Samoa Americana","ASM",2000,1,0
"Samoa Americana","ASM",2010,1,0
"Samoa Americana","ASM",2023,1,0
"Antigua y Barbuda","ATG",2000,2.7,0.993251773010283
"Antigua y Barbuda","ATG",2010,2.7,0.993251773010283
"Antigua y Barbuda","ATG",2023,2.7,0.993251773010283
"Australia","AUS",2000,1.72482666666667,0.545126562342774
"Australia","AUS",2010,1.09015948638677,0.0863240033236767
"Australia","AUS",2023,1.50519106560509,0.408919844033301
"Austria","AUT",2000,1.08270508132602,0.0794626145222062
"Austria","AUT",2010,0.754308990105961,-0.28195319371822
"Austria","AUT",2023,0.924839558470698,-0.0781350068159033
"Azerbaiyán","AZE",2000,0.89483075,-0.111120684735355
"Azerbaiyán","AZE",2010,0.80265,-0.219836525556714
"Azerbaiyán","AZE",2023,1.7,0.53062825106217
"Burundi","BDI",2000,720.673333333333,6.58018596018206
"Burundi","BDI",2010,1230.74833333333,7.11537766444956
"Burundi","BDI",2023,2574.05174879329,7.85323649238028
"Bélgica","BEL",2000,1.08270508132602,0.0794626145222062
"Bélgica","BEL",2010,0.754308990105961,-0.28195319371822
"Bélgica","BEL",2023,0.924839558470698,-0.0781350068159033
"Benin","BEN",2000,710.207977031373,6.56555785253739
"Benin","BEN",2010,494.794262222936,6.20414204429697
"Benin","BEN",2023,606.654982255763,6.40796023119928
"Burkina Faso","BFA",2000,710.207977031367,6.56555785253738
"Burkina Faso","BFA",2010,494.794262222947,6.20414204429699
"Burkina Faso","BFA",2023,606.569750165917,6.40781972616718
"Bangladesh","BGD",2000,52.1416666666667,3.95396437321632
"Bangladesh","BGD",2010,69.6492916666667,4.243472530277
"Bangladesh","BGD",2023,106.309484297483,4.66635450335735
"Bulgaria","BGR",2000,2.123275,0.752959708011113
"Bulgaria","BGR",2010,1.47739166666667,0.390278145556908
"Bulgaria","BGR",2023,1.80896666666667,0.592755779856806
"Bahrein","BHR",2000,0.376,-0.978166135592243
"Bahrein","BHR",2010,0.376,-0.978166135592243
"Bahrein","BHR",2023,0.376,-0.978166135592243
"Bahamas","BHS",2000,1,0
"Bahamas","BHS",2010,1,0
"Bahamas","BHS",2023,1,0
"Bosnia y Herzegovina","BIH",2000,2.12285951185833,0.752764006183092
"Bosnia y Herzegovina","BIH",2010,1.47673956845028,0.389836663324007
"Bosnia y Herzegovina","BIH",2023,1.80920280030082,0.592886306431994
"Belarús","BLR",2000,0.087675,-2.4341184829559
"Belarús","BLR",2010,0.297851,-1.21116191751841
"Belarús","BLR",2023,3.00735,1.10105929231116
"Belice","BLZ",2000,2,0.693147180559945
"Belice","BLZ",2010,2,0.693147180559945
"Belice","BLZ",2023,2,0.693147180559945
"Bermudas","BMU",2000,1,0
"Bermudas","BMU",2010,1,0
"Bermudas","BMU",2023,1,0
"Bolivia","BOL",2000,6.18354166666667,1.82189119254012
"Bolivia","BOL",2010,7.01666666666667,1.94828827146028
"Bolivia","BOL",2023,6.91,1.93296963777958
"Brasil","BRA",2000,1.82942312207561,0.604000683318234
"Brasil","BRA",2010,1.75922671058718,0.564874343514669
"Brasil","BRA",2023,4.99437976287199,1.60831323279339
"Barbados","BRB",2000,2,0.693147180559945
"Barbados","BRB",2010,2,0.693147180559945
"Barbados","BRB",2023,2,0.693147180559945
"Brunei Darussalam","BRN",2000,1.72396333333333,0.544625903647188
"Brunei Darussalam","BRN",2010,1.36350947368421,0.310061871342595
"Brunei Darussalam","BRN",2023,1.34307960114934,0.294965186930831
"Bhután","BTN",2000,44.941605,3.80536398040516
"Bhután","BTN",2010,45.7258121212121,3.82266295510799
"Bhután","BTN",2023,82.5992764460784,4.41400092075586
"Botswana","BWA",2000,5.10224166666667,1.62967998564344
"Botswana","BWA",2010,6.793625,1.91598467245408
"Botswana","BWA",2023,13.5963833333333,2.60980382600344
"República Centroafricana","CAF",2000,710.207977031367,6.56555785253738
"República Centroafricana","CAF",2010,494.794262222947,6.20414204429699
"República Centroafricana","CAF",2023,606.569750165917,6.40781972616718
"Canadá","CAN",2000,1.485394095,0.395680120884985
"Canadá","CAN",2010,1.03011273517598,0.0296682478793171
"Canadá","CAN",2023,1.3499086407939,0.300036916674384
"Europa Central y del Báltico","CEB",2000,NA,NA
"Europa Central y del Báltico","CEB",2010,NA,NA
"Europa Central y del Báltico","CEB",2023,NA,NA
"Suiza","CHE",2000,1.6888425,0.52404338303352
"Suiza","CHE",2010,1.04290564573352,0.0420107076249788
"Suiza","CHE",2023,0.89849,-0.107039702481004
"Islas del Canal","CHI",2000,0.660930833333333,-0.414106084040738
"Islas del Canal","CHI",2010,0.647179345560165,-0.435131827282077
"Islas del Canal","CHI",2023,0.804538906734353,-0.217485952333923
"Chile","CHL",2000,539.5875,6.29080495875765
"Chile","CHL",2010,510.249166666667,6.23489916850227
"Chile","CHL",2023,840.066526651499,6.73348108709597
"China","CHN",2000,8.27850416666666,2.11366229587719
"China","CHN",2010,6.77026902870939,1.91254082449644
"China","CHN",2023,7.08399842343631,1.95783849736781
"Côte d'Ivoire","CIV",2000,710.207977031367,6.56555785253738
"Côte d'Ivoire","CIV",2010,494.794262222947,6.20414204429699
"Côte d'Ivoire","CIV",2023,606.569750165917,6.40781972616718
"Camerún","CMR",2000,710.207977031367,6.56555785253738
"Camerún","CMR",2010,494.794262222947,6.20414204429699
"Camerún","CMR",2023,606.569750165917,6.40781972616718
"Congo, República Democrática del","COD",2000,21.8183333273501,3.08275059468972
"Congo, República Democrática del","COD",2010,905.913458333333,6.80894378087721
"Congo, República Democrática del","COD",2023,2340.03570436145,7.75792146650946
"Congo, República del","COG",2000,710.207977031367,6.56555785253738
"Congo, República del","COG",2010,494.794262222947,6.20414204429699
"Congo, República del","COG",2023,606.569750165917,6.40781972616718
"Colombia","COL",2000,2087.91833333333,7.64392283584937
"Colombia","COL",2010,1898.9975,7.54908139432906
"Colombia","COL",2023,4325.955,8.37238820423976
"Comoras","COM",2000,532.65598277353,6.27787578008561
"Comoras","COM",2010,371.095696667202,5.91645997184519
"Comoras","COM",2023,454.991236691823,6.1202781587475
"Cabo Verde","CPV",2000,115.876551583333,4.7525254139438
"Cabo Verde","CPV",2010,83.2786893759019,4.42219268662166
"Cabo Verde","CPV",2023,101.804812544702,4.62305737750493
"Costa Rica","CRI",2000,308.186666666667,5.73070565999908
"Costa Rica","CRI",2010,525.829200716846,6.26497644654081
"Costa Rica","CRI",2023,544.050775505632,6.29904257982682
"Estados pequeos del Caribe","CSS",2000,NA,NA
"Estados pequeos del Caribe","CSS",2010,NA,NA
"Estados pequeos del Caribe","CSS",2023,NA,NA
"Cuba","CUB",2000,NA,NA
"Cuba","CUB",2010,NA,NA
"Cuba","CUB",2023,NA,NA
"Curacao","CUW",2000,NA,NA
"Curacao","CUW",2010,NA,NA
"Curacao","CUW",2023,1.79,0.582215619852664
"Islas Caimán","CYM",2000,0.83333,-0.182325556801955
"Islas Caimán","CYM",2010,0.83333,-0.182325556801955
"Islas Caimán","CYM",2023,0.83333,-0.182325556801955
"Chipre","CYP",2000,0.622409116666667,-0.474157658624544
"Chipre","CYP",2010,0.754308990105961,-0.28195319371822
"Chipre","CYP",2023,0.924839558470698,-0.0781350068159033
"República Checa","CZE",2000,38.5984166666667,3.65321125663121
"República Checa","CZE",2010,19.09825,2.94959670781829
"República Checa","CZE",2023,22.1980833333333,3.1000059488147
"Alemania","DEU",2000,1.08270508132602,0.0794626145222062
"Alemania","DEU",2010,0.754308990105961,-0.28195319371822
"Alemania","DEU",2023,0.924839558470698,-0.0781350068159033
"Djibouti","DJI",2000,177.721,5.1802149048806
"Djibouti","DJI",2010,177.721,5.1802149048806
"Djibouti","DJI",2023,177.721,5.1802149048806
"Dominica","DMA",2000,2.7,0.993251773010283
"Dominica","DMA",2010,2.7,0.993251773010283
"Dominica","DMA",2023,2.7,0.993251773010283
"Dinamarca","DNK",2000,8.08314416666667,2.08978092637969
"Dinamarca","DNK",2010,5.624075,1.72705649012357
"Dinamarca","DNK",2023,6.88970258583334,1.93002791803196
"República Dominicana","DOM",2000,16.1814576782866,2.78386599893742
"República Dominicana","DOM",2010,36.8212918670815,3.60607626120468
"República Dominicana","DOM",2023,56.1576,4.02816202376165
"Argelia","DZA",2000,75.2597916666666,4.32094601698004
"Argelia","DZA",2010,74.3859833333333,4.30926752803293
"Argelia","DZA",2023,135.842933333333,4.91149931636208
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2000,NA,NA
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2010,NA,NA
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP",2023,NA,NA
"inicial del dividendo demográfico","EAR",2000,NA,NA
"inicial del dividendo demográfico","EAR",2010,NA,NA
"inicial del dividendo demográfico","EAR",2023,NA,NA
"Asia oriental y el Pacífico","EAS",2000,NA,NA
"Asia oriental y el Pacífico","EAS",2010,NA,NA
"Asia oriental y el Pacífico","EAS",2023,NA,NA
"Europa y Asia central (excluido altos ingresos)","ECA",2000,NA,NA
"Europa y Asia central (excluido altos ingresos)","ECA",2010,NA,NA
"Europa y Asia central (excluido altos ingresos)","ECA",2023,NA,NA
"Europa y Asia central","ECS",2000,NA,NA
"Europa y Asia central","ECS",2010,NA,NA
"Europa y Asia central","ECS",2023,NA,NA
"Ecuador","ECU",2000,1,0
"Ecuador","ECU",2010,1,0
"Ecuador","ECU",2023,1,0
"Egipto, República Árabe de","EGY",2000,3.47205,1.24474519761607
"Egipto, República Árabe de","EGY",2010,5.6219429176105,1.72667731903729
"Egipto, República Árabe de","EGY",2023,30.6264136980311,3.42186282936784
"Zona del Euro","EMU",2000,1.08270508132602,0.0794626145222062
"Zona del Euro","EMU",2010,0.754308990105961,-0.28195319371822
"Zona del Euro","EMU",2023,0.924839558470698,-0.0781350068159033
"Eritrea","ERI",2000,9.625,2.26436388017385
"Eritrea","ERI",2010,15.375,2.73274281369258
"Eritrea","ERI",2023,15.075,2.71303774261325
"España","ESP",2000,1.08270508132602,0.0794626145222062
"España","ESP",2010,0.754308990105961,-0.28195319371822
"España","ESP",2023,0.924839558470698,-0.0781350068159033
"Estonia","EST",2000,16.9686366666667,2.83136673816777
"Estonia","EST",2010,11.8068482348947,2.46867972201791
"Estonia","EST",2023,0.924839558470698,-0.0781350068159033
"Etiopía","ETH",2000,8.21725833333333,2.10623661734172
"Etiopía","ETH",2010,14.4095898080066,2.66789394381908
"Etiopía","ETH",2023,54.6009480676569,4.00005124647661
"Unión Europea","EUU",2000,NA,NA
"Unión Europea","EUU",2010,NA,NA
"Unión Europea","EUU",2023,NA,NA
"Frágiles y situaciones de conflicto afectados","FCS",2000,NA,NA
"Frágiles y situaciones de conflicto afectados","FCS",2010,NA,NA
"Frágiles y situaciones de conflicto afectados","FCS",2023,NA,NA
"Finlandia","FIN",2000,1.08270508132602,0.0794626145222062
"Finlandia","FIN",2010,0.754308990105961,-0.28195319371822
"Finlandia","FIN",2023,0.924839558470698,-0.0781350068159033
"Fiji","FJI",2000,2.128625,0.755476231364632
"Fiji","FJI",2010,1.91850867822547,0.651548154137678
"Fiji","FJI",2023,2.250125,0.810985770228732
"Francia","FRA",2000,1.08270508132602,0.0794626145222062
"Francia","FRA",2010,0.754308990105961,-0.28195319371822
"Francia","FRA",2023,0.924839558470698,-0.0781350068159033
"Islas Feroe","FRO",2000,8.08314416666667,2.08978092637969
"Islas Feroe","FRO",2010,5.624075,1.72705649012357
"Islas Feroe","FRO",2023,6.88970258583334,1.93002791803196
"Micronesia (Estados Federados de)","FSM",2000,1,0
"Micronesia (Estados Federados de)","FSM",2010,1,0
"Micronesia (Estados Federados de)","FSM",2023,1,0
"Gabón","GAB",2000,710.207977031367,6.56555785253738
"Gabón","GAB",2010,494.794262222947,6.20414204429699
"Gabón","GAB",2023,606.569750165917,6.40781972616718
"Reino Unido","GBR",2000,0.660930833333333,-0.414106084040738
"Reino Unido","GBR",2010,0.647179345560165,-0.435131827282077
"Reino Unido","GBR",2023,0.804538906734353,-0.217485952333923
"Georgia","GEO",2000,1.97616666666667,0.68115894124788
"Georgia","GEO",2010,1.78234166666667,0.577928042806539
"Georgia","GEO",2023,2.62795833333333,0.966207245600681
"Ghana","GHA",2000,0.544919175868766,-0.607117796474825
"Ghana","GHA",2010,1.42998333333333,0.357662789192238
"Ghana","GHA",2023,11.0204083333333,2.39974885687979
"Gibraltar","GIB",2000,0.660930833333333,-0.414106084040738
"Gibraltar","GIB",2010,0.647179345560165,-0.435131827282077
"Gibraltar","GIB",2023,0.804538906734353,-0.217485952333923
"Guinea","GIN",2000,1746.86991666667,7.46558084638097
"Guinea","GIN",2010,5726.07102083333,8.65278488880037
"Guinea","GIN",2023,NA,NA
"Gambia","GMB",2000,12.7876250950944,2.54847791383747
"Gambia","GMB",2010,28.0119536626841,3.3326313355967
"Gambia","GMB",2023,61.0963330077956,4.11245184813748
"Guinea-Bissau","GNB",2000,710.207977031367,6.56555785253738
"Guinea-Bissau","GNB",2010,494.794262222947,6.20414204429699
"Guinea-Bissau","GNB",2023,606.569750165917,6.40781972616718
"Guinea Ecuatorial","GNQ",2000,710.207977031367,6.56555785253738
"Guinea Ecuatorial","GNQ",2010,494.794262222947,6.20414204429699
"Guinea Ecuatorial","GNQ",2023,606.569750165917,6.40781972616718
"Grecia","GRC",2000,365.398560833333,5.90098870533006
"Grecia","GRC",2010,0.754308990105961,-0.28195319371822
"Grecia","GRC",2023,0.924839558470698,-0.0781350068159033
"Granada","GRD",2000,2.7,0.993251773010283
"Granada","GRD",2010,2.7,0.993251773010283
"Granada","GRD",2023,2.7,0.993251773010283
"Groenlandia","GRL",2000,8.08314416666667,2.08978092637969
"Groenlandia","GRL",2010,5.624075,1.72705649012357
"Groenlandia","GRL",2023,6.88970258583334,1.93002791803196
"Guatemala","GTM",2000,7.76315916666667,2.04938936045523
"Guatemala","GTM",2010,8.05777083333333,2.08663694671884
"Guatemala","GTM",2023,7.83197416666667,2.05821460678899
"Guam","GUM",2000,1,0
"Guam","GUM",2010,1,0
"Guam","GUM",2023,1,0
"Guyana","GUY",2000,182.43,5.20636653780013
"Guyana","GUY",2010,203.635833333333,5.31633326788066
"Guyana","GUY",2023,208.5,5.33993904123886
"Ingreso alto","HIC",2000,NA,NA
"Ingreso alto","HIC",2010,NA,NA
"Ingreso alto","HIC",2023,NA,NA
"Hong Kong, Región Administrativa Especial","HKG",2000,7.79116666666667,2.05299061332459
"Hong Kong, Región Administrativa Especial","HKG",2010,7.76916666666667,2.0501629085206
"Hong Kong, Región Administrativa Especial","HKG",2023,7.82958333333333,2.05790929445312
"Honduras","HND",2000,14.840625,2.69736835275535
"Honduras","HND",2010,18.8951,2.93890262919285
"Honduras","HND",2023,24.6016468236818,3.20281338474977
"Países pobres muy endeudados (PPME)","HPC",2000,NA,NA
"Países pobres muy endeudados (PPME)","HPC",2010,NA,NA
"Países pobres muy endeudados (PPME)","HPC",2023,NA,NA
"Croacia","HRV",2000,8.27766641666667,2.11356109493867
"Croacia","HRV",2010,5.49801058333333,1.7043863146836
"Croacia","HRV",2023,0.924839558470698,-0.0781350068159033
"Haití","HTI",2000,21.1706666666667,3.0526165757547
"Haití","HTI",2010,39.7974,3.68380158352335
"Haití","HTI",2023,141.035912702189,4.94901455796315
"Hungría","HUN",2000,282.179166666667,5.64254221198293
"Hungría","HUN",2010,207.944166666667,5.3372696141805
"Hungría","HUN",2023,353.088333333333,5.86671826170124
"Sólo BIRF","IBD",2000,NA,NA
"Sólo BIRF","IBD",2010,NA,NA
"Sólo BIRF","IBD",2023,NA,NA
"BIRF y la AIF","IBT",2000,NA,NA
"BIRF y la AIF","IBT",2010,NA,NA
"BIRF y la AIF","IBT",2023,NA,NA
"total de la AIF","IDA",2000,NA,NA
"total de la AIF","IDA",2010,NA,NA
"total de la AIF","IDA",2023,NA,NA
"mezcla de la AIF","IDB",2000,NA,NA
"mezcla de la AIF","IDB",2010,NA,NA
"mezcla de la AIF","IDB",2023,NA,NA
"Indonesia","IDN",2000,8421.775,9.03857589262052
"Indonesia","IDN",2010,9090.43333333333,9.11497785746909
"Indonesia","IDN",2023,15236.8846620506,9.63147438984371
"Sólo AIF","IDX",2000,NA,NA
"Sólo AIF","IDX",2010,NA,NA
"Sólo AIF","IDX",2023,NA,NA
"Isla de Man","IMN",2000,0.660930833333333,-0.414106084040738
"Isla de Man","IMN",2010,0.647179345560165,-0.435131827282077
"Isla de Man","IMN",2023,0.804538906734353,-0.217485952333923
"India","IND",2000,44.941605,3.80536398040516
"India","IND",2010,45.7258121212121,3.82266295510799
"India","IND",2023,82.5992764460784,4.41400092075586
"No clasificado","INX",2000,NA,NA
"No clasificado","INX",2010,NA,NA
"No clasificado","INX",2023,NA,NA
"Irlanda","IRL",2000,1.08270508132602,0.0794626145222062
"Irlanda","IRL",2010,0.754308990105961,-0.28195319371822
"Irlanda","IRL",2023,0.924839558470698,-0.0781350068159033
"Irán, República Islámica del","IRN",2000,1764.85606929191,7.47582441889885
"Irán, República Islámica del","IRN",2010,10254.176470289,9.23544036209306
"Irán, República Islámica del","IRN",2023,42000,10.6454248972655
"Iraq","IRQ",2000,2002.40340735354,7.60210344175093
"Iraq","IRQ",2010,1170,7.0647590277918
"Iraq","IRQ",2023,1312.5,7.17968899446578
"Islandia","ISL",2000,78.6159466666667,4.36457456265686
"Islandia","ISL",2010,122.241811205165,4.80600114210462
"Islandia","ISL",2023,137.942952429967,4.92684021150011
"Israel","ISR",2000,4.07733333333333,1.40544317995865
"Israel","ISR",2010,3.738975,1.31881150969287
"Israel","ISR",2023,3.6673747160226,1.29947606985781
"Italia","ITA",2000,1.08270508132602,0.0794626145222062
"Italia","ITA",2010,0.754308990105961,-0.28195319371822
"Italia","ITA",2023,0.924839558470698,-0.0781350068159033
"Jamaica","JAM",2000,42.9857,3.76086750224431
"Jamaica","JAM",2010,87.1961463300915,4.46816013647612
"Jamaica","JAM",2023,154.158779031722,5.03798310393802
"Jordania","JOR",2000,0.709,-0.34389975245001
"Jordania","JOR",2010,0.71,-0.342490308946776
"Jordania","JOR",2023,0.71,-0.342490308946776
"Japón","JPN",2000,107.765498333333,4.67995755468066
"Japón","JPN",2010,87.779875,4.47483226024449
"Japón","JPN",2023,140.49110006234,4.94514414201541
"Kazajstán","KAZ",2000,142.133333333333,4.95676558418352
"Kazajstán","KAZ",2010,147.355,4.99284464142103
"Kazajstán","KAZ",2023,456.165,6.12285458617058
"Kenya","KEN",2000,76.1755416666667,4.33304043566588
"Kenya","KEN",2010,79.2331517045454,4.37239479336742
"Kenya","KEN",2023,139.846383759617,4.9405445613202
"Kirguistán","KGZ",2000,47.7038333333333,3.86501175804758
"Kirguistán","KGZ",2010,45.9642614008139,3.82786416845636
"Kirguistán","KGZ",2023,87.8561255862776,4.4757005399914
"Camboya","KHM",2000,3840.75,8.25342293901077
"Camboya","KHM",2010,4184.91666666667,8.33924207033982
"Camboya","KHM",2023,4110.65274641577,8.32133711395913
"Kiribati","KIR",2000,1.72482666666667,0.545126562342774
"Kiribati","KIR",2010,1.09015948638677,0.0863240033236767
"Kiribati","KIR",2023,1.50519106560508,0.408919844033294
"Saint Kitts y Nevis","KNA",2000,2.7,0.993251773010283
"Saint Kitts y Nevis","KNA",2010,2.7,0.993251773010283
"Saint Kitts y Nevis","KNA",2023,2.7,0.993251773010283
"Corea, República de","KOR",2000,1130.3625,7.03029365672238
"Corea, República de","KOR",2010,1156.46,7.05311889395705
"Corea, República de","KOR",2023,1305.6625,7.17446585377486
"Kuwait","KWT",2000,0.306751583333333,-1.18171703376358
"Kuwait","KWT",2010,0.286606591666667,-1.24964476431777
"Kuwait","KWT",2023,0.30718535125088,-1.18030396357578
"América Latina y el Caribe (excluido altos ingresos)","LAC",2000,NA,NA
"América Latina y el Caribe (excluido altos ingresos)","LAC",2010,NA,NA
"América Latina y el Caribe (excluido altos ingresos)","LAC",2023,NA,NA
"República Democrática Popular Lao","LAO",2000,7887.64333333333,8.97305267889777
"República Democrática Popular Lao","LAO",2010,8254.16302973342,9.01847296172074
"República Democrática Popular Lao","LAO",2023,17688.8735909054,9.78069111022008
"Líbano","LBN",2000,1507.5,7.31820792860134
"Líbano","LBN",2010,1507.5,7.31820792860134
"Líbano","LBN",2023,13875.625,9.53788898264518
"Liberia","LBR",2000,40.9025,3.71119118587509
"Liberia","LBR",2010,71.4033333333333,4.26834455359661
"Liberia","LBR",2023,174.955982783514,5.16453441533396
"Libia","LBY",2000,0.512189613308333,-0.669060384008165
"Libia","LBY",2010,1.26678941001316,0.236485676011441
"Libia","LBY",2023,4.81288333333334,1.57129635012137
